id,city_name,restaurant_url,restaurant_name,restaurant_cuisines,restaurant_locality,restaurant_rating,cost_for_two,count_of_ratings,offers
271,vidisha,https://www.swiggy.com/restaurants/naveens-bapu-ki-kutia-sanchi-road-baripura-vidisha-671973,Naveen's Bapu Ki Kutia,"North Indian, South Indian, Chinese, Biryani, Beverages, Sweets",Baripura,3.1,₹299 for two,10+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
272,vidisha,https://www.swiggy.com/restaurants/pizza-paradise-eidgah-square-vidisha-locality-vidisha-186993,Pizza Paradise,"Italian, Beverages",Vidisha Locality,3.2,₹300 for two,100+ ratings,20% OFF UPTO ₹50; FLAT 10% OFF; FLAT ₹100 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
273,vidisha,https://www.swiggy.com/restaurants/hotel-lazeez-ahmadpur-choraha-ahmadpur-square-vidisha-187017,Hotel Lazeez,"North Indian, Biryani",Ahmadpur Square,3.2,₹200 for two,500+ ratings,FLAT ₹75 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
274,vidisha,https://www.swiggy.com/restaurants/the-food-club-khari-fhatak-vidisha-211971,The Food Club,Chinese,Khari Fhatak,3.5,₹150 for two,100+ ratings,10% OFF UPTO ₹40; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
275,vidisha,https://www.swiggy.com/restaurants/burger-land-vivekanand-square-near-vivekanand-square-vidisha-vidisha-381418,Burger Land,Pizzas,Near Vivekanand Square Vidisha,3.9,₹150 for two,100+ ratings,20% OFF UPTO ₹50; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
276,vidisha,https://www.swiggy.com/restaurants/sharda-bakery-swami-vivek-anand-chouraha-baripura-vidisha-521410,Sharda Bakery,Snacks,Baripura,4.4,₹99 for two,10+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
277,vidisha,https://www.swiggy.com/restaurants/jain-bhojnalaya-mahadev-ganj-station-road-vidisha-187011,Jain Bhojnalaya,"North Indian, Thalis",Station Road,3.5,₹200 for two,1K+ ratings,20% OFF UPTO ₹50; FLAT 20% OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
278,vidisha,https://www.swiggy.com/restaurants/gopal-sweets-nikasa-road-vidisha-locality-vidisha-187023,Gopal Sweets,"Desserts, Beverages",Vidisha Locality,3.6,₹250 for two,500+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
279,vidisha,https://www.swiggy.com/restaurants/sky-high-rooftop-restaurant-and-cafe-sherpura-baripura-vidisha-250453,Sky High Rooftop Restaurant & Cafe,"Chinese, North Indian",Baripura,3.5,₹200 for two,100+ ratings,FLAT ₹125 OFF; 50% OFF UPTO ₹100; FLAT ₹150 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
280,viluppuram,https://www.swiggy.com/restaurants/dfc-karnanithi-street-viluppuram-town-viluppuram-679957,DFC,"Pizzas, Fast Food, Beverages",Viluppuram Town,4.1,₹300 for two,100+ ratings,FLAT ₹150 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
281,viluppuram,https://www.swiggy.com/restaurants/mumbai-kulfi-south-colony-viluppuram-town-viluppuram-198012,Mumbai Kulfi,"North Indian, South Indian",Viluppuram Town,4.3,₹150 for two,50+ ratings,20% OFF UPTO ₹50; FLAT ₹150 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
282,viluppuram,https://www.swiggy.com/restaurants/mr-momos-kk-road-viluppuram-town-viluppuram-412671,Mr. Momos,Continental,Viluppuram Town,2.5,₹200 for two,50+ ratings,30% OFF UPTO ₹75; Free ff; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
